Unkown,DATABASE_NAME,USER_NAME,SESSION_ID,PLAN_ID,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,SQL_TEXT_TYPE,SQL_TEXT_HASH,newline,Clusters
144,CIW_STAGE,CIW_ETLUSER,8458887,10493315,0,1,0,0,External,445844356,NA,4
146,CIW_STAGE,CIW_ETLUSER,8457786,10491977,0,1,0,0,External,445844356,NA,4
152,CIW_STAGE,CIW_ETLUSER,8452671,10486555,80,2,0,5,External,624537405,NA,4
155,CIW_STAGE,CIW_ETLUSER,8444485,10477022,1,1,0,0,External,1811111342,NA,4
163,CIW,CIW_ETLUSER,8438496,10468153,0,1,0,0,External,1830938492,NA,4
168,CIW_STAGE,CIW_ETLUSER,8450750,10484670,0,1,0,0,External,1580626441,NA,4
169,CIW_STAGE,CIW_ETLUSER,8443524,10476069,3,1,0,3,External,845098298,NA,4
171,CIW_STAGE,CIW_ETLUSER,8461473,10496103,0,1,0,0,External,1594037545,NA,4
173,CIW_STAGE,CIW_ETLUSER,8456769,10490937,0,1,0,0,External,1116892400,NA,4
175,CIW_STAGE,CIW_ETLUSER,8475559,10511027,0,1,0,0,External,1953664530,NA,4
181,CIW,CIW_ETLUSER,8462612,10497217,2,10,0,0,External,1716851677,NA,4
193,CIW_STAGE,CIW_ETLUSER,8497554,10542790,0,1,0,0,External,1594037545,NA,4
194,CIW_STAGE,CIW_ETLUSER,8504942,10552308,0,1,0,0,External,445844356,NA,4
203,CIW_STAGE,CIW_ETLUSER,8615246,10637660,0,1,0,0,External,1811111342,NA,4
204,CIW_STAGE,CIW_ETLUSER,8612902,10635265,0,1,0,0,External,300539526,NA,4
205,CIW_STAGE,CIW_ETLUSER,8611412,10633697,0,1,0,0,External,1470566727,NA,4
206,CIW_STAGE,CIW_ETLUSER,8612308,10634821,3,4,1174,227097,External,1750772061,NA,4
207,CIW_STAGE,CIW_ETLUSER,8607591,10629092,0,1,0,0,External,1953664530,NA,4
211,CIW_STAGE,CIW_ETLUSER,8604042,10625194,2,3,1,6,External,633858742,NA,4
213,CIW_STAGE,CIW_ETLUSER,8608809,10630417,0,2,0,0,External,1813232277,NA,4
214,CIW_STAGE,CIW_ETLUSER,8610572,10632576,0,1,0,0,External,300539526,NA,4
221,CIW_STAGE,CIW_ETLUSER,8612685,10635055,0,2,0,0,External,670401081,NA,4
222,CIW_STAGE,CIW_ETLUSER,8602442,10623529,0,1,0,0,External,1811111342,NA,4
224,CIW_STAGE,CIW_ETLUSER,8605192,10626536,0,1,0,0,External,300539526,NA,4
226,CIW_STAGE,CIW_ETLUSER,8611786,10634206,0,1,0,0,External,1811111342,NA,4
227,CIW_STAGE,CIW_ETLUSER,8607499,10629015,0,1,0,0,External,883804858,NA,4
229,CIW_STAGE,CIW_ETLUSER,8614674,10637118,0,1,0,0,External,1580626441,NA,4
231,CIW_STAGE,CIW_ETLUSER,8615137,10637586,1,1,1,16,External,300539526,NA,4
232,CIW_STAGE,CIW_ETLUSER,8612860,10635218,0,1,0,0,External,883804858,NA,4
233,CIW_STAGE,CIW_ETLUSER,8612845,10635210,0,1,0,0,External,1580626441,NA,4
236,CIW_STAGE,CIW_ETLUSER,8602800,10623925,0,1,0,0,External,445844356,NA,4
237,CIW_STAGE,CIW_ETLUSER,8607591,10629092,0,1,0,0,External,1953664530,NA,4
239,CIW,CIW_ETLUSER,8612595,10634926,0,1,0,0,External,1830938492,NA,4
240,CIW_STAGE,CIW_ETLUSER,8612046,10634399,0,1,0,0,External,883804858,NA,4
241,CIW_STAGE,CIW_ETLUSER,8608517,10630116,0,1,0,0,External,589537479,NA,4
243,CIW_STAGE,CIW_ETLUSER,8605926,10627209,0,1,0,0,External,2005760714,NA,4
244,CIW_STAGE,CIW_ETLUSER,8608250,10629908,0,1,0,0,External,2005760714,NA,4
245,CIW_STAGE,CIW_ETLUSER,8609388,10631147,0,1,0,0,External,445844356,NA,4
246,CIW_STAGE,CIW_ETLUSER,8613026,10635434,0,1,0,0,External,445844356,NA,4
248,CIW_STAGE,CIW_ETLUSER,8615081,10637542,0,1,0,0,External,1580626441,NA,4
251,CIW_STAGE,CIW_ETLUSER,8613195,10635661,0,1,0,0,External,883804858,NA,4
253,CIW_STAGE,CIW_ETLUSER,8614063,10636543,0,1,0,0,External,1580626441,NA,4
256,CIW_STAGE,CIW_ETLUSER,8614402,10636889,0,1,0,0,External,445844356,NA,4
259,CIW_STAGE,CIW_ETLUSER,8614550,10637021,0,1,0,0,External,445844356,NA,4
260,CIW,CIW_ETLUSER,8614145,10636663,0,1,0,0,External,1830938492,NA,4
261,CIW_STAGE,CIW_ETLUSER,8613093,10635491,0,1,0,0,External,445844356,NA,4
264,CIW_STAGE,CIW_ETLUSER,8614307,10636800,0,1,0,0,External,445844356,NA,4
266,CIW_STAGE,CIW_ETLUSER,8606397,10627882,0,1,0,0,External,300539526,NA,4
269,CIW_STAGE,CIW_ETLUSER,8604973,10626285,1,2,1,44,External,1082593202,NA,4
270,CIW_STAGE,CIW_ETLUSER,8605481,10626785,0,1,0,0,External,259061982,NA,4
271,CIW_STAGE,CIW_ETLUSER,8612598,10634925,0,1,0,0,External,1594037545,NA,4
272,CIW_STAGE,CIW_ETLUSER,8610672,10632711,0,1,0,0,External,1953664530,NA,4
274,CIW_STAGE,CIW_ETLUSER,8564237,10573523,0,1,0,0,External,883804858,NA,4
278,CIW_STAGE,CIW_ETLUSER,8424842,10452864,0,2,0,0,External,670401081,NA,4
279,CIW_STAGE,CIW_ETLUSER,8468425,10503686,171,4,22596,9879626,External,1769990401,NA,4
281,CIW_STAGE,CIW_ETLUSER,8463779,10498329,12,1,0,7,External,1580626441,NA,4
286,CIW_STAGE,CIW_ETLUSER,8460855,10495580,0,1,0,0,External,445844356,NA,4
288,CIW_STAGE,CIW_ETLUSER,8422432,10450268,1,3,1,12,External,1329598429,NA,4
294,CIW_STAGE,CIW_ETLUSER,8443873,10476333,2,2,0,0,External,1111787975,NA,4
298,CIW_STAGE,CIW_ETLUSER,8433750,10462979,1,1,1,12,External,883804858,NA,4
299,CIW_STAGE,CIW_ETLUSER,8458230,10492574,2,1,1,8,External,300539526,NA,4
300,CIW_STAGE,CIW_ETLUSER,8455743,10489862,1,1,0,0,External,1811111342,NA,4
301,CIW_STAGE,CIW_ETLUSER,8456126,10490266,0,1,0,0,External,300539526,NA,4
304,CIW_STAGE,CIW_ETLUSER,8434630,10463800,0,1,0,0,External,1594037545,NA,4
305,CIW_STAGE,CIW_ETLUSER,8434770,10463920,0,1,0,0,External,883804858,NA,4
310,CIW_STAGE,CIW_ETLUSER,8434805,10463946,0,1,0,0,External,1594037545,NA,4
318,CIW_STAGE,CIW_ETLUSER,8432514,10461661,1,1,7006,1022660,External,840496984,NA,4
320,CIW_STAGE,CIW_ETLUSER,8422641,10450462,0,2,0,0,External,670401081,NA,4
321,CIW,CIW_ETLUSER,8424093,10452004,14,7,448,170299,External,1504747127,NA,4
324,CIW_STAGE,CIW_ETLUSER,8426636,10454718,1,2,1,24,External,670401081,NA,4
325,CIW_STAGE,CIW_ETLUSER,8430979,10459487,0,1,0,0,External,883804858,NA,4
326,CIW_STAGE,CIW_ETLUSER,8431295,10459981,0,1,0,0,External,845098298,NA,4
329,CIW_STAGE,CIW_ETLUSER,8429257,10457585,1,1,1,12,External,883804858,NA,4
330,CIW_STAGE,CIW_ETLUSER,8422067,10449873,1,1,1,12,External,1706266073,NA,4
331,CIW_STAGE,CIW_ETLUSER,8421826,10449659,0,1,0,0,External,445844356,NA,4
332,CIW_STAGE,CIW_ETLUSER,8449957,10483829,1,1,1,88,External,1580626441,NA,4
334,CIW_STAGE,CIW_ETLUSER,8455929,10490051,0,1,0,0,External,300539526,NA,4
336,CIW_STAGE,CIW_ETLUSER,8448202,10481548,1,1,1722,34440,External,1594037545,NA,4
338,CIW_STAGE,CIW_ETLUSER,8442601,10475152,2,1,0,0,External,1811111342,NA,4
343,CIW_STAGE,CIW_ETLUSER,8471415,10506632,2,1,1292,25840,External,1594037545,NA,4
344,CIW_STAGE,CIW_ETLUSER,8470060,10505211,0,1,0,0,External,1953664530,NA,4
347,CIW_STAGE,CIW_ETLUSER,8475301,10510741,1,1,1,8,External,445844356,NA,4
352,CIW,CIW_ETLUSER,8466226,10501049,1,1,1,8,External,1830938492,NA,4
353,CIW_STAGE,CIW_ETLUSER,8465064,10499390,5,2,0,5,External,670401081,NA,4
355,CIW_STAGE,CIW_ETLUSER,8460104,10494604,0,1,0,0,External,259061982,NA,4
356,CIW_STAGE,CIW_ETLUSER,8442938,10475487,1,1,58,916,External,1376441725,NA,4
357,CIW_STAGE,CIW_ETLUSER,8449672,10483506,0,1,0,0,External,1594037545,NA,4
358,CIW_STAGE,CIW_ETLUSER,8449438,10483190,0,1,0,0,External,300539526,NA,4
360,CIW_STAGE,CIW_ETLUSER,8443252,10475830,0,2,0,0,External,670401081,NA,4
364,CIW_STAGE,CIW_ETLUSER,8425360,10453428,0,1,0,0,External,766992162,NA,4
369,CIW_STAGE,CIW_ETLUSER,8438620,10468248,0,1,0,0,External,883804858,NA,4
371,CIW_STAGE,CIW_ETLUSER,8434805,10463946,0,1,0,0,External,1594037545,NA,4
372,CIW_STAGE,CIW_ETLUSER,8434989,10464086,0,1,0,0,External,883804858,NA,4
373,CIW_STAGE,CIW_ETLUSER,8421832,10449661,0,1,0,0,External,883804858,NA,4
374,CIW_STAGE,CIW_ETLUSER,8458891,10493322,0,1,0,0,External,1594037545,NA,4
375,CIW_STAGE,CIW_ETLUSER,8457964,10492212,0,1,0,0,External,445844356,NA,4
376,CIW_STAGE,CIW_ETLUSER,8456051,10490197,0,1,0,0,External,1580626441,NA,4
378,CIW,CIW_ETLUSER,8453571,10487472,1,1,1,8,External,1830938492,NA,4
379,CIW_STAGE,CIW_ETLUSER,8452652,10486531,137,2,0,0,External,670401081,NA,4
387,CIW,CIW_ETLUSER,8465350,10499875,5,7,0,0,External,1678067956,NA,4
388,CIW_STAGE,CIW_ETLUSER,8459352,10493735,0,1,0,0,External,1811111342,NA,4
389,CIW_STAGE,CIW_ETLUSER,8465149,10499565,31,1,0,0,External,845098298,NA,4
392,CIW_STAGE,CIW_ETLUSER,8462270,10496838,0,1,0,0,External,1811111342,NA,4
396,CIW_STAGE,CIW_ETLUSER,8461825,10496443,0,1,0,0,External,1811111342,NA,4
401,CIW_STAGE,CIW_ETLUSER,8457962,10492207,0,1,0,0,External,1811111342,NA,4
405,CIW_STAGE,CIW_ETLUSER,8448829,10482466,0,1,0,0,External,1811111342,NA,4
407,CIW_STAGE,CIW_ETLUSER,8448295,10481692,0,1,0,0,External,1811111342,NA,4
409,CIW_STAGE,CIW_ETLUSER,8453241,10487227,111,20,0,0,External,1906949529,NA,4
410,CIW_STAGE,CIW_ETLUSER,8454477,10488382,1,2,1,24,External,670401081,NA,4
412,CIW_STAGE,CIW_ETLUSER,8465149,10499565,31,1,0,0,External,845098298,NA,4
415,CIW_STAGE,CIW_ETLUSER,8445654,10478648,0,1,0,0,External,300539526,NA,4
421,CIW_STAGE,CIW_ETLUSER,8471990,10507218,0,1,0,0,External,1706266073,NA,4
423,CIW_STAGE,CIW_ETLUSER,8471667,10506928,0,1,0,0,External,259061982,NA,4
425,CIW_STAGE,CIW_ETLUSER,8467402,10502613,5,9,22194,2299131,External,1039905473,NA,4
426,CIW_STAGE,CIW_ETLUSER,8466625,10501671,22,2,0,1,External,670401081,NA,4
427,CIW_STAGE,CIW_ETLUSER,8465368,10499871,0,2,0,0,External,670401081,NA,4
429,CIW_STAGE,CIW_ETLUSER,8451113,10485063,1,1,1,12,External,883804858,NA,4
430,CIW_STAGE,CIW_ETLUSER,8465118,10499449,0,1,0,0,External,1580626441,NA,4
432,CIW_STAGE,CIW_ETLUSER,8429486,10457852,0,1,0,0,External,845098298,NA,4
440,CIW_STAGE,CIW_ETLUSER,8475751,10511206,0,1,0,0,External,1706266073,NA,4
441,CIW_STAGE,CIW_ETLUSER,8479413,10515977,39,1,13887,9410555,External,528385558,NA,4
445,CIW_STAGE,CIW_ETLUSER,8472688,10507970,0,1,0,0,External,1376441725,NA,4
446,CIW_STAGE,CIW_ETLUSER,8471771,10507064,0,1,0,0,External,845098298,NA,4
447,CIW_STAGE,CIW_ETLUSER,8468883,10503982,0,1,0,0,External,445844356,NA,4
452,CIW_STAGE,CIW_ETLUSER,8456612,10490794,0,1,0,0,External,300539526,NA,4
453,CIW_STAGE,CIW_ETLUSER,8456904,10491040,0,1,0,0,External,883804858,NA,4
454,CIW_STAGE,CIW_ETLUSER,8455297,10489375,1,1,1,8,External,1953664530,NA,4
455,CIW_STAGE,CIW_ETLUSER,8464031,10498602,0,1,0,0,External,845098298,NA,4
457,CIW_STAGE,CIW_ETLUSER,8451884,10485766,0,1,0,0,External,300539526,NA,4
458,CIW_STAGE,CIW_ETLUSER,8453514,10487392,4,1,0,22,External,1580626441,NA,4
459,CIW_STAGE,CIW_ETLUSER,8448841,10482482,1,1,1,8,External,445844356,NA,4
460,CIW_STAGE,CIW_ETLUSER,8447759,10481155,0,1,0,0,External,300539526,NA,4
461,CIW,CIW_ETLUSER,8451306,10485245,9,7,17,945,External,1069025967,NA,4
463,CIW_STAGE,CIW_ETLUSER,8449608,10483422,0,1,0,0,External,883804858,NA,4
467,CIW_STAGE,CIW_ETLUSER,8440851,10472954,1,1,1,8,External,445844356,NA,4
471,CIW_STAGE,CIW_ETLUSER,8444076,10476542,1,1,1,88,External,1580626441,NA,4
476,CIW,CIW_ETLUSER,8440719,10472791,0,1,0,0,External,1830938492,NA,4
493,CIW_STAGE,CIW_ETLUSER,8435016,10464118,0,1,0,0,External,1580626441,NA,4
494,CIW_STAGE,CIW_ETLUSER,8434971,10464072,0,1,0,0,External,1953664530,NA,4
495,CIW_STAGE,CIW_ETLUSER,8436024,10465257,0,1,0,0,External,1580626441,NA,4
496,CIW_STAGE,CIW_ETLUSER,8434827,10463966,0,1,0,0,External,1953664530,NA,4
499,CIW_STAGE,CIW_ETLUSER,8433853,10463073,0,1,0,0,External,883804858,NA,4
500,CIW_STAGE,CIW_ETLUSER,8435065,10464153,0,1,0,0,External,1953664530,NA,4
512,CIW,CIW_ETLUSER,8441087,10473231,0,1,0,0,External,1830938492,NA,4
513,CIW_STAGE,CIW_ETLUSER,8440120,10471976,0,1,0,0,External,883804858,NA,4
515,CIW_STAGE,CIW_ETLUSER,8440816,10472910,0,2,0,0,External,670401081,NA,4
517,CIW_STAGE,CIW_ETLUSER,8437773,10467459,0,1,0,0,External,1472272850,NA,4
523,CIW_STAGE,CIW_ETLUSER,8444052,10476515,2,1,0,0,External,1811111342,NA,4
525,CIW,CIW_ETLUSER,8451816,10485697,1,1,319097,15316656,External,2089122728,NA,1
532,CIW_STAGE,CIW_ETLUSER,8449954,10483821,1,1,3581,71620,External,1594037545,NA,4
533,CIW_STAGE,CIW_ETLUSER,8454067,10487950,2,1,1,8,External,300539526,NA,4
534,CIW_STAGE,CIW_ETLUSER,8453480,10487369,3,2,0,8,External,670401081,NA,4
536,CIW_STAGE,CIW_ETLUSER,8449769,10483617,0,1,0,0,External,300539526,NA,4
539,CIW_STAGE,CIW_ETLUSER,8465940,10500618,7,1,188,3766,External,1594037545,NA,4
544,CIW_STAGE,CIW_ETLUSER,8448833,10482467,0,1,0,0,External,445844356,NA,4
546,CIW_STAGE,CIW_ETLUSER,8453565,10487459,1,1,2178,43560,External,1594037545,NA,4
547,CIW_STAGE,CIW_ETLUSER,8453262,10487182,4,1,0,2,External,445844356,NA,4
551,CIW_STAGE,CIW_ETLUSER,8452950,10486845,3,2,0,8,External,670401081,NA,4
552,CIW,CIW_ETLUSER,8451443,10485350,0,1,0,0,External,1830938492,NA,4
554,CIW_STAGE,CIW_ETLUSER,8452139,10486012,2,1,1,44,External,1580626441,NA,4
556,CIW_STAGE,CIW_ETLUSER,8455400,10489492,0,2,0,0,External,670401081,NA,4
558,CIW_STAGE,CIW_ETLUSER,8456267,10490422,1,2,1,24,External,670401081,NA,4
560,CIW_STAGE,CIW_ETLUSER,8455783,10489896,0,1,0,0,External,1580626441,NA,4
562,CIW_STAGE,CIW_ETLUSER,8459559,10493974,0,1,0,0,External,883804858,NA,4
563,CIW_STAGE,CIW_ETLUSER,8459556,10493973,0,1,0,0,External,1811111342,NA,4
564,CIW_STAGE,CIW_ETLUSER,8458175,10492519,0,2,0,0,External,670401081,NA,4
572,CIW_STAGE,CIW_ETLUSER,8443291,10475862,0,1,0,0,External,1811111342,NA,4
573,CIW_STAGE,CIW_ETLUSER,8443400,10475971,0,2,0,0,External,670401081,NA,4
576,CIW_STAGE,CIW_ETLUSER,8445165,10477988,1,1,1,16,External,300539526,NA,4
578,CIW_STAGE,CIW_ETLUSER,8445851,10478917,1,1,1,12,External,883804858,NA,4
588,CIW,CIW_ETLUSER,8440364,10472305,0,1,0,0,External,1830938492,NA,4
589,CIW_STAGE,CIW_ETLUSER,8434922,10464032,0,2,0,0,External,670401081,NA,4
594,CIW_STAGE,CIW_ETLUSER,8433769,10463009,1,1,1,8,External,445844356,NA,4
595,CIW_STAGE,CIW_ETLUSER,8433803,10463022,0,1,0,0,External,1594037545,NA,4
597,CIW_STAGE,CIW_ETLUSER,8425714,10453839,0,2,0,0,External,670401081,NA,4
598,CIW_STAGE,CIW_ETLUSER,8425529,10453592,8,7,14905,21924107,External,41847308,NA,1
604,CIW_STAGE,CIW_ETLUSER,8434094,10463310,0,1,0,0,External,1706266073,NA,4
605,CIW_STAGE,CIW_ETLUSER,8441673,10474102,0,1,0,0,External,883804858,NA,4
607,CIW_STAGE,CIW_ETLUSER,8440631,10472643,0,1,0,0,External,1594037545,NA,4
618,CIW,CIW_ETLUSER,8450724,10484678,4,12,0,0,External,194131991,NA,4
620,CIW_STAGE,CIW_ETLUSER,8458145,10492498,0,1,0,0,External,445844356,NA,4
622,CIW_STAGE,CIW_ETLUSER,8456555,10490740,0,2,0,0,External,670401081,NA,4
623,CIW_STAGE,CIW_ETLUSER,8459981,10494453,0,1,0,0,External,300539526,NA,4
628,CIW_STAGE,CIW_ETLUSER,8464806,10499215,37,2,0,1,External,670401081,NA,4
629,CIW_STAGE,CIW_ETLUSER,8472030,10507259,0,1,0,0,External,1580626441,NA,4
632,CIW_STAGE,CIW_ETLUSER,8421828,10449658,0,1,0,0,External,883804858,NA,4
648,CIW_STAGE,CIW_ETLUSER,8451076,10485007,0,1,0,0,External,845098298,NA,4
649,CIW_STAGE,CIW_ETLUSER,8460146,10494664,0,1,0,0,External,445844356,NA,4
659,CIW_STAGE,CIW_ETLUSER,8459815,10494296,0,1,0,0,External,883804858,NA,4
660,CIW_STAGE,CIW_ETLUSER,8450241,10484170,0,1,0,0,External,259061982,NA,4
661,CIW,CIW_ETLUSER,8450093,10484016,5,4,0,2,External,1483574347,NA,4
663,CIW_STAGE,CIW_ETLUSER,8445407,10478331,0,1,0,0,External,1580626441,NA,4
664,CIW_STAGE,CIW_ETLUSER,8453682,10487583,1,1,1,8,External,445844356,NA,4
665,CIW_STAGE,CIW_ETLUSER,8455774,10489890,0,2,0,0,External,670401081,NA,4
666,CIW_STAGE,CIW_ETLUSER,8462679,10497251,0,1,0,0,External,1594037545,NA,4
669,CIW,CIW_ETLUSER,8452407,10486309,2,1,1,4,External,1830938492,NA,4
670,CIW_STAGE,CIW_ETLUSER,8453075,10486956,2,1,1,12,External,300539526,NA,4
671,CIW_STAGE,CIW_ETLUSER,8451858,10485740,0,1,0,0,External,883804858,NA,4
672,CIW_STAGE,CIW_ETLUSER,8451262,10485193,1,1,3759,75180,External,1594037545,NA,4
673,CIW_STAGE,CIW_ETLUSER,8453691,10487591,3,1,0,5,External,300539526,NA,4
674,CIW_STAGE,CIW_ETLUSER,8453811,10487702,0,1,0,0,External,883804858,NA,4
677,CIW_STAGE,CIW_ETLUSER,8455816,10489930,0,2,0,0,External,670401081,NA,4
679,CIW_STAGE,CIW_ETLUSER,8457092,10491216,1,1,0,0,External,1811111342,NA,4
680,CIW_STAGE,CIW_ETLUSER,8456888,10491029,0,2,0,0,External,670401081,NA,4
681,CIW_STAGE,CIW_ETLUSER,8456784,10490945,0,1,0,0,External,883804858,NA,4
701,CIW_STAGE,CIW_ETLUSER,8425604,10453702,1,1,1,20,External,37562516,NA,4
702,CIW_STAGE,CIW_ETLUSER,8425579,10453667,0,1,0,0,External,259061982,NA,4
711,CIW_STAGE,CIW_ETLUSER,8428682,10456980,12,2,0,2,External,670401081,NA,4
712,CIW_STAGE,CIW_ETLUSER,8434714,10463878,0,1,0,0,External,1953664530,NA,4
714,CIW_STAGE,CIW_ETLUSER,8455517,10489601,1,1,1,88,External,1580626441,NA,4
715,CIW_STAGE,CIW_ETLUSER,8459460,10493859,0,1,0,0,External,1953664530,NA,4
716,CIW_STAGE,CIW_ETLUSER,8463489,10498008,1,1,1,8,External,1953664530,NA,4
728,CIW_STAGE,CIW_ETLUSER,8425088,10453158,0,1,0,0,External,259061982,NA,4
739,CIW_STAGE,CIW_ETLUSER,8432514,10461661,1,1,7006,1022660,External,840496984,NA,4
742,CIW_STAGE,CIW_ETLUSER,8429287,10457606,1,1,1,16,External,300539526,NA,4
751,CIW_STAGE,CIW_ETLUSER,8614565,10637033,0,1,0,0,External,2078913252,NA,4
752,CIW_STAGE,CIW_ETLUSER,8615228,10637650,0,1,0,0,External,445844356,NA,4
755,CIW_STAGE,CIW_ETLUSER,8475934,10511401,0,2,0,0,External,670401081,NA,4
763,CIW_STAGE,CIW_ETLUSER,8462815,10497379,3,4,0,0,External,1022446602,NA,4
765,CIW_STAGE,CIW_ETLUSER,8458704,10493120,1,2,1,24,External,670401081,NA,4
768,CIW_STAGE,CIW_ETLUSER,8450050,10483934,0,1,0,0,External,1580626441,NA,4
770,CIW_STAGE,CIW_ETLUSER,8448900,10482535,0,1,0,0,External,1580626441,NA,4
771,CIW_STAGE,CIW_ETLUSER,8451372,10485319,1,1,1,8,External,845098298,NA,4
774,CIW_STAGE,CIW_ETLUSER,8450678,10484623,0,1,0,0,External,1811111342,NA,4
776,CIW_STAGE,CIW_ETLUSER,8445624,10478595,0,2,0,0,External,670401081,NA,4
780,CIW_STAGE,CIW_ETLUSER,8453481,10487368,1,1,1,88,External,1580626441,NA,4
781,CIW_STAGE,CIW_ETLUSER,8453329,10487270,1,1,1,12,External,883804858,NA,4
